ano_calendrio,emprstimos_contrados_no_exterior,estabelecimento_bancrio_comercial,outras_dvidas_e_nus_reais,outras_pessoas_jurdicas,pessoas_fsicas,soc_de_crdito_financiamento_e_investimento,outros,invlido
2020,32986.56799,323535.6481,48813.66779,137478.2616,205241.5186,93629.54153,0.0,0.0
2019,24919.77795,284721.7019,41938.28014,111934.3804,182995.3315,109077.9111,0.0,0.0
2018,22553.39354,262100.441,39455.20126,104586.8067,172150.5451,82690.95868,0.0,0.0
2017,19278.0036,445093.1321,74395.6384,101079.8836,177749.5494,76918.97523,0.0,0.0
2016,20102.79529,241374.5265,33780.83533,91983.78553,165716.2097,75278.50244,0.0,0.0
2015,16063.65693,302515.0393,33226.28043,86984.89727,144637.2737,76709.71795,0.0,0.0
2014,9770.300183,230628.2229,28505.27094,100634.1784,120981.6642,73373.81946,0.0,0.0
2013,8695.887567,192936.0619,25763.07826,76716.14348,137025.8739,67191.03115,570.3732328,0.0
2012,6929.577544,181565.5533,22864.56621,72023.4365,88735.26759,85244.11924,650.0,0.0
2011,4433.060647,238370.4177,22835.61574,62564.50232,75282.26523,134747.2987,360.0,0.0
2010,2696.89595,300111.0985,53021.31583,54943.00564,58830.97381,18877.41748,820.0,0.0
2009,2682.008553,165731.6764,13928.14794,45685.9604,48747.78009,42202.89063,770.0,30.72921211
2008,2624.910299,75639.18925,11584.1723,40620.72534,45015.90541,35745.73749,470.0,79.44050166
2007,2294.622562,74760.22822,9814.670524,33269.08746,39700.64185,28336.35009,150.0,99.37105017
